City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Ahmedabad,Makarba,Residential,11500000,Furnished,3,3,Individual,0,0,0,2,1715.0,Built-up Area,Gujarat
Ahmedabad,Makarba,Residential,6500000,Unfurnished,2,2,Connected,0,0,1,1,1050.0,Saleable Area,Gujarat
Ahmedabad,Ambli Road,Residential,72100000,Semi-Furnished,5,5,Connected,0,0,0,4,4083.0,Carpet Area,Gujarat
Ahmedabad,Shela,Residential,13000000,Unfurnished,5,5,Connected,0,0,1,4,3100.0,Built-up Area,Gujarat
Ahmedabad,Bodakdev,Residential,15000000,Furnished,5,4,Room-attached,0,0,0,1,1800.0,Built-up Area,Gujarat
Ahmedabad,Satellite,Residential,21600000,Semi-Furnished,3,3,Connected,0,0,0,2,2295.0,Built-up Area,Gujarat
Ahmedabad,Gota,Residential,9943000,Unfurnished,3,3,Connected,0,0,1,2,2050.0,Saleable Area,Gujarat
Ahmedabad,Bodakdev,Residential,24500000,Unfurnished,4,4,Connected,1,1,1,3,3492.0,Saleable Area,Gujarat
Ahmedabad,Shela,Residential,20500000,Unfurnished,4,4,Connected,1,1,1,3,4130.0,Saleable Area,Gujarat
Ahmedabad,Shyamal,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,1,927.0,Built-up Area,Gujarat
Ahmedabad,Ellisbridge,Residential,23000000,Furnished,3,3,"Connected,Room-attached",0,0,0,3,2564.0,Saleable Area,Gujarat
Ahmedabad,South Bopal,Residential,7500000,Unfurnished,3,3,Connected,0,0,0,1,1700.0,Built-up Area,Gujarat
Ahmedabad,Shela,Residential,9000000,Furnished,3,3,Connected,0,0,0,2,786.0,Carpet Area,Gujarat
Ahmedabad,Kolat,Residential,25500000,Unfurnished,3,3,Connected,1,1,1,0,12060.0,Plot Area,Gujarat
Ahmedabad,Bopal,Residential,8000000,Semi-Furnished,3,3,Connected,0,0,0,2,790.0,Carpet Area,Gujarat
Ahmedabad,South Bopal,Residential,13000000,Unfurnished,3,4,Connected,1,1,1,2,893.0,Carpet Area,Gujarat
Ahmedabad,Wapa,Residential,9350000,Unfurnished,3,3,Connected,1,1,1,1,2200.0,Saleable Area,Gujarat
Ahmedabad,Shela,Residential,7300000,Semi-Furnished,3,3,Connected,0,0,0,1,1436.0,Saleable Area,Gujarat
Ahmedabad,Shela,Residential,13500000,Unfurnished,3,3,Connected,1,1,1,2,2740.0,Saleable Area,Gujarat
Ahmedabad,Memnagar,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,970.0,Built-up Area,Gujarat
Ahmedabad,Jagatpur,Residential,4500000,Unfurnished,2,2,Room-attached,0,0,0,2,5920.1449999999995,Carpet Area,Gujarat
Ahmedabad,Ahmedabad Cantonment,Commercial,0,Furnished,0,0,"Connected,Individual",0,0,0,7,1901.0,Built-up Area,Gujarat
Ahmedabad,Bopal,Residential,8800000,Furnished,3,3,Connected,0,0,0,2,1485.0,Built-up Area,Gujarat
Ahmedabad,Bodakdev,Commercial,0,Unfurnished,0,0,Connected,0,0,0,1,871.0,Built-up Area,Gujarat
Ahmedabad,Sindhubhavan,Commercial,0,Furnished,0,0,No Balcony,0,0,0,2,2524.0,Built-up Area,Gujarat
Ahmedabad,Vastral,Residential,3400000,Furnished,2,2,Connected,0,0,0,2,850.0,Built-up Area,Gujarat
Ahmedabad,Satellite,Residential,22500000,Furnished,3,3,"Connected,Room-attached",0,0,0,3,2100.0,Built-up Area,Gujarat
Ahmedabad,Ellisbridge,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,1,1950.0,Built-up Area,Gujarat
Ahmedabad,Naranpura,Residential,11500000,Unfurnished,3,3,Connected,1,0,1,1,2106.0,Carpet Area,Gujarat
Ahmedabad,Naroda,Residential,5000000,Furnished,2,2,Room-attached,0,0,0,1,1323.0,Built-up Area,Gujarat
Ahmedabad,Prahlad Nagar,Commercial,0,Furnished,0,0,No Balcony,0,0,0,8,1039.0,Built-up Area,Gujarat
Ahmedabad,Naranpura,Residential,8894000,Unfurnished,3,3,Connected,0,0,0,1,1815.0,Built-up Area,Gujarat
Ahmedabad,Shela,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,377.0,Built-up Area,Gujarat
Ahmedabad,Ahmedabad Cantonment,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,7,364.0,Built-up Area,Gujarat
Ahmedabad,Makarba,Commercial,0,Furnished,0,0,No Balcony,0,0,0,1,417.0,Built-up Area,Gujarat
Ahmedabad,Hathijan,Residential,3500000,Furnished,3,2,"Connected,Individual,Room-attached",0,0,0,0,1700.0,Built-up Area,Gujarat
Ahmedabad,Shilaj,Residential,27500000,Semi-Furnished,4,3,Individual,0,0,0,4,2098.0,Built-up Area,Gujarat
Ahmedabad,Dholera,Residential,867000,Unfurnished,3,3,Connected,0,0,1,0,1578.0,Plot Area,Gujarat
Ahmedabad,Shilaj,Residential,27500000,Semi-Furnished,4,2,Individual,0,0,0,4,2267.0,Built-up Area,Gujarat
Ahmedabad,Dholera,Residential,957000,Unfurnished,3,3,Connected,0,0,1,0,1741.0,Plot Area,Gujarat
Ahmedabad,Ahmedabad Cantonment,Residential,5200000,Unfurnished,2,2,Room-attached,0,0,1,2,1183.0,Built-up Area,Gujarat
Ahmedabad,Chandkheda,Residential,11000000,Furnished,3,3,Individual,0,0,0,2,2097.0,Built-up Area,Gujarat
Ahmedabad,South Bopal,Residential,7000000,Unfurnished,3,3,Individual,1,1,1,3,1750.0,Saleable Area,Gujarat
Ahmedabad,Shela,Residential,7770000,Unfurnished,3,3,Connected,1,1,1,3,1850.0,Saleable Area,Gujarat
Ahmedabad,Vasna,Residential,8500000,Furnished,3,2,Connected,0,0,0,1,935.0,Carpet Area,Gujarat
Ahmedabad,Jagatpur,Residential,4000000,Unfurnished,1,2,Connected,0,0,0,1,900.0,Built-up Area,Gujarat
Ahmedabad,Shela,Residential,7000000,Unfurnished,3,3,Connected,0,0,0,1,1506.0,Built-up Area,Gujarat
Ahmedabad,Bopal,Residential,7350000,Unfurnished,3,3,Connected,1,1,1,2,1750.0,Saleable Area,Gujarat
Ahmedabad,Ghuma,Residential,7175000,Unfurnished,3,3,Room-attached,1,1,1,3,1750.0,Saleable Area,Gujarat
Ahmedabad,Nava Vadaj Road,Residential,18000000,Unfurnished,4,3,Individual,0,0,0,2,1503.0,Built-up Area,Gujarat
Ahmedabad,Bapunagar,Residential,7000000,Semi-Furnished,3,3,Room-attached,0,0,1,4,100.0,Built-up Area,Gujarat
Ahmedabad,South Bopal,Residential,7350000,Unfurnished,3,3,Room-attached,1,1,1,3,1750.0,Saleable Area,Gujarat
Ahmedabad,Shela,Residential,5800000,Unfurnished,3,2,Room-attached,0,1,1,1,648.0,Carpet Area,Gujarat
Ahmedabad,South Bopal,Residential,7350000,Unfurnished,3,1,Connected,1,1,1,3,1750.0,Saleable Area,Gujarat
Ahmedabad,Dhandhuka,Residential,500000,Unfurnished,3,3,Connected,0,0,0,0,999.0,Plot Area,Gujarat
Ahmedabad,Shela,Residential,8400000,Furnished,3,3,Connected,0,0,0,2,1481.0,Built-up Area,Gujarat
Ahmedabad,Ranip,Residential,4300000,Furnished,2,2,Connected,0,0,0,2,1069.0,Saleable Area,Gujarat
Ahmedabad,Thaltej,Residential,40000000,Unfurnished,3,3,Connected,0,0,0,5,3600.0,Built-up Area,Gujarat
Ahmedabad,Vastrapur,Residential,4100000,Unfurnished,1,2,Connected,0,0,0,1,720.0,Built-up Area,Gujarat
Ahmedabad,Dholera,Residential,888000,Unfurnished,3,3,Connected,0,0,0,0,1777.0,Plot Area,Gujarat
Ahmedabad,Dholera,Residential,910000,Unfurnished,3,3,Connected,0,1,1,0,1260.0,Plot Area,Gujarat
Ahmedabad,Dhandhuka,Residential,710000,Unfurnished,3,3,Connected,0,0,0,0,1421.0,Plot Area,Gujarat
Ahmedabad,Thaltej,Residential,41000000,Semi-Furnished,3,4,Connected,0,0,0,2,5200.0,Built-up Area,Gujarat
Ahmedabad,Dholera,Residential,2600000,Unfurnished,3,3,Connected,0,0,0,0,8550.0,Plot Area,Gujarat
